fid,x,y,class,uid
258.0,1403.6633,787.5889,car,100.0
259.0,1566.2975,777.82996,car,99.0
259.0,1400.3342,782.564,car,100.0
260.0,1567.0656,777.8033,car,99.0
260.0,1395.7041,776.6164,car,100.0
261.0,1567.4497,777.79,car,99.0
261.0,1390.7896,770.74585,car,100.0
262.0,1567.0656,777.8033,car,99.0
262.0,1385.2896,763.97125,car,100.0
263.0,1566.6815,777.8166,car,99.0
263.0,1378.2452,756.37134,car,100.0
264.0,1565.9137,777.84326,car,99.0
264.0,1373.8445,750.7069,car,100.0
265.0,1563.524,776.8371,car,99.0
265.0,1369.4899,745.10187,car,100.0
266.0,1561.1418,775.8341,car,99.0
266.0,1364.8596,739.5722,car,100.0
267.0,1558.7662,774.83386,car,99.0
267.0,1361.5176,734.98315,car,100.0
268.0,1556.398,773.83673,car,99.0
268.0,1358.8387,730.39734,car,100.0
269.0,1555.6377,773.8643,car,99.0
269.0,1353.7373,724.1197,car,100.0
270.0,1556.4814,774.91583,car,99.0
270.0,1346.2896,716.2205,car,100.0
271.0,1556.9462,775.98303,car,99.0
271.0,1339.27,708.42883,car,100.0
272.0,1557.4113,777.05164,car,99.0
272.0,1331.1948,699.94366,car,100.0
273.0,1557.4957,778.1354,car,99.0
273.0,1324.1096,692.4313,car,100.0
274.0,1555.5897,778.2015,car,99.0
274.0,1318.2701,685.82574,car,100.0
275.0,1554.911,779.312,car,99.0
275.0,1315.3518,680.8228,car,100.0
276.0,1553.8506,780.4361,car,99.0
276.0,1312.7548,675.8419,car,100.0
277.0,1556.7721,783.6119,car,99.0
277.0,1310.706,671.7169,car,100.0
278.0,1560.0945,786.79407,car,99.0
278.0,1308.3798,667.64594,car,100.0
279.0,1565.4573,791.0401,car,99.0
279.0,1304.9714,662.8547,car,100.0
280.0,1569.6077,794.2465,car,99.0
280.0,1301.3066,658.13354,car,100.0
281.0,1574.1763,797.46375,car,99.0
281.0,1297.3898,653.4829,car,100.0
282.0,1575.0544,798.5587,car,99.0
282.0,1293.011,648.10175,car,100.0
283.0,1573.8824,798.59045,car,99.0
283.0,1287.6229,642.0671,car,100.0
284.0,1573.492,798.6011,car,99.0
284.0,1281.7456,636.1649,car,100.0
285.0,1572.7113,798.6222,car,99.0
285.0,1275.9474,630.3422,car,100.0
286.0,1570.6674,797.56024,car,99.0
286.0,1271.522,625.2521,car,100.0
287.0,1570.6674,797.56024,car,99.0
287.0,1266.8728,620.24695,car,100.0
288.0,1576.033,800.7757,car,99.0
288.0,1262.8185,615.2414,car,100.0
289.0,1579.3705,802.9395,car,99.0
289.0,1259.3467,610.2321,car,100.0
290.0,1584.8029,806.1956,car,99.0
290.0,1255.6431,605.30383,car,100.0
291.0,1590.2766,809.47656,car,99.0
291.0,1250.7374,599.81537,car,100.0
292.0,1591.9779,810.57886,car,99.0
292.0,1247.1211,594.9978,car,100.0
293.0,1589.879,809.4857,car,99.0
293.0,1244.2383,590.8865,car,100.0
294.0,1587.7861,808.3957,car,99.0
294.0,1242.3336,587.4315,car,100.0
295.0,1585.3031,807.31793,car,99.0
295.0,1240.442,584.0002,car,100.0
296.0,1584.9073,807.32733,car,99.0
296.0,1238.5632,580.5922,car,100.0
297.0,1587.4961,809.5406,car,99.0
297.0,1236.6973,577.20746,car,100.0
298.0,1590.4943,811.75476,car,99.0
298.0,1234.5873,573.87726,car,100.0
299.0,1592.7074,813.99615,car,99.0
299.0,1233.6774,571.1342,car,100.0
300.0,1593.6173,815.1244,car,99.0
300.0,1232.5166,568.4367,car,100.0
301.0,1591.1112,814.0303,car,99.0
301.0,1231.1077,565.78534,car,100.0
302.0,1583.9292,809.62274,car,99.0
302.0,1229.706,563.148,car,100.0
303.0,1576.8197,805.2596,car,99.0
303.0,1229.4819,561.0733,car,100.0
304.0,1568.5189,799.8539,car,99.0
304.0,1228.0907,558.4597,car,100.0
305.0,1560.3181,794.51324,car,99.0
305.0,1226.2992,555.2205,car,100.0
306.0,1557.9198,793.4752,car,99.0
306.0,1225.0201,551.9362,car,100.0
307.0,1558.3907,794.5686,car,99.0
307.0,1222.5989,548.14276,car,100.0
308.0,1558.8623,795.66376,car,99.0
308.0,1219.3038,543.8235,car,100.0
309.0,1562.9906,798.8857,car,99.0
309.0,1214.9115,539.032,car,100.0
310.0,1567.147,802.1294,car,99.0
310.0,1208.8245,533.21606,car,100.0
311.0,1569.1888,803.199,car,99.0
311.0,1201.73,526.99274,car,100.0
312.0,1571.236,804.2713,car,99.0
312.0,1193.9111,520.35504,car,100.0
313.0,1573.289,805.3467,car,99.0
313.0,1187.0654,514.3481,car,100.0
314.0,1574.0728,805.32733,car,99.0
314.0,1181.6163,508.86975,car,100.0
315.0,1576.1329,806.40594,car,99.0
315.0,1178.4491,504.98868,car,100.0
316.0,1579.087,808.5996,car,99.0
316.0,1175.5415,501.10855,car,100.0
317.0,1582.4502,810.79443,car,99.0
317.0,1174.2655,498.23483,car,100.0
318.0,1585.83,813.0,car,99.0
318.0,1170.6028,493.9354,car,100.0
319.0,1588.8279,815.22485,car,99.0
319.0,1167.7693,490.15677,car,100.0
320.0,1590.1327,816.34534,car,99.0
320.0,1164.4027,485.9071,car,100.0
321.0,1589.7338,816.3536,car,99.0
321.0,1160.0734,481.2773,car,100.0
322.0,1588.0312,815.2416,car,99.0
322.0,1156.0181,476.66708,car,100.0
323.0,1586.3334,814.1325,car,99.0
323.0,1153.532,473.0116,car,100.0
324.0,1584.6393,813.026,car,99.0
324.0,1149.8761,469.0185,car,100.0
325.0,1583.3457,811.9136,car,99.0
325.0,1145.2961,464.6672,car,100.0
326.0,1580.3716,809.70465,car,99.0
326.0,1140.7728,460.36978,car,100.0
327.0,1579.087,808.5996,car,99.0
327.0,1136.0927,456.16348,car,100.0
328.0,1576.1329,806.40594,car,99.0
